,CUST NO. ,XCOORD.,YCOORD.,DEMAND,READY TIME ,DUE DATE ,SERVICE TIME
0,0,35,35,0,0,230,0
1,1,41,49,10,130,201,10
2,2,35,17,7,20,89,10
3,3,55,45,13,106,135,10
4,4,55,20,19,71,195,10
5,5,15,30,26,20,107,10
6,6,25,30,3,54,153,10
7,7,20,50,5,66,105,10
8,8,10,43,9,61,138,10
9,9,55,60,16,53,150,10
10,10,30,60,16,101,156,10
11,11,20,65,12,33,152,10
12,12,50,35,19,38,97,10
13,13,30,25,23,70,208,10
14,14,15,10,20,32,137,10
15,15,30,5,8,30,154,10
16,16,10,20,19,54,105,10
17,17,5,30,2,51,189,10
18,18,20,40,12,77,106,10
19,19,15,60,17,53,108,10
20,20,45,65,9,109,152,10
21,21,45,20,11,37,96,10
22,22,45,10,18,59,144,10
23,23,55,5,29,36,155,10
24,24,65,35,3,118,190,10
25,25,65,20,6,47,186,10
26,26,45,30,17,117,156,10
27,27,35,40,16,5,156,10
28,28,41,37,16,8,79,10
29,29,64,42,9,37,98,10
30,30,40,60,21,28,123,10
31,31,31,52,27,24,85,10
32,32,35,69,23,116,175,10
33,33,53,52,11,24,179,10
34,34,65,55,14,100,143,10
35,35,63,65,8,50,178,10
36,36,2,60,5,41,178,10
37,37,20,20,8,117,160,10
38,38,5,5,16,42,145,10
39,39,60,12,31,33,186,10
40,40,40,25,9,51,128,10
41,41,42,7,5,44,159,10
42,42,24,12,5,25,172,10
43,43,23,3,7,115,158,10
44,44,11,14,18,31,138,10
45,45,6,38,16,29,189,10
46,46,2,48,1,93,150,10
47,47,8,56,27,34,116,10
48,48,13,52,36,125,192,10
49,49,6,68,30,93,132,10
50,50,47,47,13,105,152,10
51,51,49,58,10,66,119,10
52,52,27,43,9,25,88,10
53,53,37,31,14,62,137,10
54,54,57,29,18,121,168,10
55,55,63,23,2,70,189,10
56,56,53,12,6,81,188,10
57,57,32,12,7,78,133,10
58,58,36,26,18,79,210,10
59,59,21,24,28,17,123,10
60,60,17,34,3,130,201,10
61,61,12,24,13,59,102,10
62,62,24,58,19,25,164,10
63,63,27,69,10,34,112,10
64,64,15,77,9,46,165,10
65,65,62,77,20,49,170,10
66,66,49,73,25,77,179,10
67,67,67,5,25,43,150,10
68,68,56,39,36,82,198,10
69,69,37,47,6,12,142,10
70,70,37,56,5,21,198,10
71,71,57,68,15,57,106,10
72,72,47,16,25,22,110,10
73,73,44,17,9,60,105,10
74,74,46,13,8,73,195,10
75,75,49,11,18,46,101,10
76,76,49,42,13,36,119,10
77,77,53,43,14,65,200,10
78,78,61,52,3,43,158,10
79,79,57,48,23,58,135,10
80,80,56,37,6,69,198,10
81,81,55,54,26,87,110,10
82,82,15,47,16,28,91,10
83,83,14,37,11,21,97,10
84,84,11,31,7,68,143,10
85,85,16,22,41,74,117,10
86,86,4,18,35,79,118,10
87,87,28,18,26,84,111,10
88,88,26,52,9,24,133,10
89,89,26,35,15,128,211,10
90,90,31,67,3,76,123,10
91,91,15,19,1,130,194,10
92,92,22,22,2,18,181,10
93,93,18,24,22,41,199,10
94,94,26,27,27,88,121,10
95,95,25,24,20,14,83,10
96,96,22,27,11,119,160,10
97,97,25,21,12,122,153,10
98,98,19,21,10,32,93,10
99,99,20,26,9,38,137,10
100,100,18,18,17,28,195,10
